v,a,9
,e,12
,i,9
,o,8
,u,4
,y,2
c,b,2
,c,2
,d,4
,f,2
,g,3
,h,2
,j,1
,k,1
,l,4
,m,2
,n,6
,p,2
,qu,1
,r,6
,s,4
,t,6
,v,2
,w,2
,x,1
,z,1
